,artist,credits,key,status,title
710,Lou Rawls,"{'artist': ['Lou Rawls'], 'credit': ['\n                            Primary Artist                        ']}",Lou Rawls - Now Is The Time,good,Now Is The Time
711,"Brooklyn, Bronx & Queens Band",error,"Brooklyn, Bronx & Queens Band - All Night Long",error,All Night Long
712,Rafael Cameron,"{'artist': ['Rafael Cameron'], 'credit': ['\n                            Primary Artist                        ']}",Rafael Cameron - Cameron All The Way,good,Cameron All The Way
713,Barry White,"{'artist': ['George Bohannon', 'Jasper Cameron', 'Vella Cameron', 'Nat Kipner', 'John Lopez', 'Gene Page', 'Jack Perry', 'Carl Taylor', 'John Vallins', 'Barry White'], 'credit': ['\n                            Horn Arrangements                        ', '\n                            Composer                        ', '\n                            Composer,  Rhythm Arrangements                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Horn Arrangements,  String Arrangements                        ', '\n                            Associate Producer,  Composer,  Rhythm Arrangements                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Executive Producer,  Horn Arrangements,  Primary Artist,  Producer,  Rhythm Arrangements,  String Arrangements                        ']}",Barry White - Change,good,Change
714,"Evelyn ""Champagne"" King",error,"Evelyn ""Champagne"" King - Get Loose",error,Get Loose
715,Eddie Murphy,"{'artist': ['Jack Adelman', 'Kevin Boutote', 'Paul Brizzi', 'Benno Friedman', 'Linda Gerrity', 'Nancy Greenberg', 'Paul Jabara', 'Charles Koppelman', 'Jack Malken', 'Eddie Murphy', 'Bruce Roberts', 'Robert Wachs', 'David Wolfert'], 'credit': ['\n                            Mastering                        ', '\n                            Digital Remastering                        ', '\n                            Mastering                        ', '\n                            Photography                        ', '\n                            Production Coordination                        ', '\n                            Art Direction                        ', '\n                            Composer                        ', '\n                            Executive Producer                        ', '\n                            Engineer                        ', '\n                            Composer,  Primary Artist,  Producer                        ', '\n                            Composer                        ', '\n                            Producer                        ', '\n                            Composer,  Producer                        ']}",Eddie Murphy - Eddie Murphy,good,Eddie Murphy
716,Robert Goodie Whitfield,"{'artist': ['Robert ""Goodie"" Whitfield'], 'credit': ['\n                            Primary Artist                        ']}",Robert Goodie Whitfield - Call Me Goodie,good,Call Me Goodie
717,Ozone,"{'artist': ['Ozone'], 'credit': ['\n                            Primary Artist                        ']}",Ozone - Li'l Suzy,good,Li'l Suzy
718,The Time,"{'artist': ['Don Batts', 'Al Beaulieu', 'Morris Day', 'Bernie Grundman', 'James Harris III', 'Jimmy Jam', 'Jellybean Johnson', 'Jesse Johnson', 'Terry Lewis', 'Peggy M.', 'Peggy M.', 'Monte Moir', 'The Starr Company', 'Jamie Starr', 'The Time', 'Vanity 6'], 'credit': ['\n                            Engineer                        ', '\n                            Photography                        ', '\n                            Composer,  Producer,  Vocals                        ', '\n                            Mastering                        ', '\n                            Composer                        ', '\n                            Keyboards,  Vocals                        ', '\n                            Composer,  Drums,  Percussion                        ', '\n                            Composer,  Drums (Electric),  Guitar,  Vocals                        ', '\n                            Bass,  Composer,  Vocals,  Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Composer,  Keyboards,  Vocals                        ', '\n                            Producer                        ', '\n                            Engineer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Guest Artist,  Vocals (Background)                        ']}",The Time - What Time Is It?,good,What Time Is It?
719,Four Tops,"{'artist': ['Renaldo Benson', 'Marc Blatte', 'The Four Tops', 'Laurence B. Gottlieb', 'Mark Gray', 'Larry Henley', 'Jerry Paul Keller', 'Geoffrey Brillhart Leib', 'Sandy Linzer', 'Ronnie McNeir', 'Jerry Michael', 'Lawrence Payton', 'Edward F. Sester', 'Johnny Slate', 'Joe Stubbs', 'Levi Stubbs', 'David Wolfert'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Four Tops - One More Mountain,good,One More Mountain
720,Gil Scott-Heron,"{'artist': ['Ed Brady', 'Malcolm Cecil', 'Carl Cornwell', 'Donn Davenport', 'Robbie Gordon', 'Ron Holloway', 'Vernon James', 'Harry Kim', 'Larry McDonald', 'Kenny Powell', 'Gil Scott-Heron', 'Kenny Sheffield', 'Glen Turner'], 'credit': ['\n                            Guitar                        ', '\n                            Producer                        ', '\n                            Sax (Tenor)                        ', '\n                            Art Direction                        ', '\n                            Bass                        ', '\n                            Sax (Tenor)                        ', '\n                            Flute,  Sax (Alto)                        ', '\n                            Trumpet                        ', '\n                            Percussion                        ', '\n                            Drums                        ', '\n                            Composer,  Guitar,  Piano,  Piano (Electric),  Primary Artist,  Producer,  Vocals                        ', '\n                            Trumpet                        ', '\n                            Keyboards                        ']}",Gil Scott-Heron - Moving Target,good,Moving Target
721,Tavares,"{'artist': ['Frankie Aue', 'Guy Babylon', 'Michal Bednarek', 'Paul Bevoir', 'Ed Biggs', 'Peter Bishop', 'Sam Brown III', 'Bob Carroll', 'Leon ""Ndugu"" Chancler', 'Phyllis Chotin', 'Paulinho Da Costa', 'Wayne A. Dickson', 'Colin Elliot', 'Charles Fearing', 'Mike Fisher', 'James Goforth', 'Michele Hart', 'Marlo Henderson', 'Bobby Holland', 'Paul Jackson, Jr.', 'Charles Johnson', 'Hayden Jones', 'Rick Kelly', 'Reggie Kendall', 'Bill LaBounty', 'Bobby ""Roberto"" Loya', 'John Luongo', 'Nicki Martinelli', 'Clarence McDonald', 'The Mexican Connection', 'Billy Meyers', 'Cornelius Mims', 'René Moore', 'Bobby Navarrette', 'Kenny Nolan', 'John ""J.R."" Robinson', 'Jay Senter', 'Marion Sherrill', 'Art Stewart', 'Neil Stubenhaus', 'Tavares', 'David Todd', 'Ian Underwood', 'Valadé', 'Robin Vandemoortele', '""Ready"" Freddie Washington', 'Johnny Washington', 'Melvin Webb', 'Stuart West', 'Alan Wilson', 'Angela Winbush', 'Lori Woods', 'Benjamin F. Wright, Jr.', 'Ric Wyatt, Jr.', 'Kris Young'], 'credit': ['\n                            Transcription                        ', '\n                            Synclavier                        ', '\n                            Associate Producer,  Transcription                        ', '\n                            Design                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Orchestration                        ', '\n                            Graphics                        ', '\n                            Drums                        ', '\n                            Art Direction,  Design                        ', '\n                            Percussion                        ', '\n                            Editing,  Mastering,  Reissue Producer,  Research                        ', '\n                            Logo Design                        ', '\n                            Guitar                        ', '\n                            Percussion                        ', '\n                            Technical Engineer                        ', '\n                            Art Direction,  Design                        ', '\n                            Guitar                        ', '\n                            Photography                        ', '\n                            Guitar                        ', '\n                            Guitar                        ', '\n                            Liner Notes                        ', '\n                            Synthesizer                        ', '\n                            Assistant Engineer                        ', '\n                            Composer                        ', '\n                            Trombone,  Trumpet                        ', '\n                            Remixing                        ', '\n                            Remixing                        ', '\n                            Keyboards                        ', '\n                            Horn                        ', '\n                            Horn Arrangements,  Keyboards,  String Arrangements                        ', '\n                            Bass                        ', '\n                            Composer                        ', '\n                            Reeds                        ', '\n                            Composer,  Producer                        ', '\n                            Drums                        ', '\n                            Composer,  Producer                        ', '\n                            Copyist                        ', '\n                            Engineer                        ', '\n                            Bass                        ', '\n                            Primary Artist                        ', '\n                            Remixing                        ', '\n                            Synthesizer                        ', '\n                            Stylist                        ', '\n                            Audio Research                        ', '\n                            Bass                        ', '\n                            Sax (Tenor),  Soloist                        ', '\n                            Drums                        ', '\n                            Research Assistant                        ', '\n                            Digital Remastering                        ', '\n                            Composer                        ', '\n                            String Contractor                        ', '\n                            Keyboards,  Producer,  Prophet 5,  Synclavier                        ', '\n                            Composer,  Drums,  Horn Arrangements,  Keyboards,  Producer,  Rhythm Arrangements,  String Arrangements,  Synthesizer,  Synthesizer Bass                        ', '\n                            Composer                        ']}",Tavares - New Directions,good,New Directions
722,Gwen Guthrie,"{'artist': ['Sly Dunbar', 'Gwen Guthrie', 'Bob Marley', 'Robbie Shakespeare', 'Steven Stanley', 'Darryl Thompson', 'David M. Thompson'], 'credit': ['\n                            Composer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Gwen Guthrie - Gwen Guthrie,good,Gwen Guthrie
723,Vanity 6,"{'artist': ['Dez Dickerson', 'Jesse Johnson', 'Terry Lewis', 'Prince', 'Vanity 6'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Performer,  Primary Artist                        ']}",Vanity 6 - Vanity 6,good,Vanity 6
724,Kool & The Gang,"{'artist': ['Clifford Adams', 'Amir Bayyan', 'Robert ""Kool"" Bell', 'Ronald Bell', 'George ""Funky"" Brown', 'Eumir Deodato', 'Kool & the Gang', 'Robert ""Spike"" Mickens', 'Michael Ray', 'Claydes Smith', 'James ""J.T."" Taylor', 'Dennis ""D.T."" Thomas', 'Curtis ""Fitz"" Williams'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Kool & The Gang - As One,good,As One
725,Sunrize,"{'artist': ['The Isley Brothers', 'Sunrize'], 'credit': ['\n                            Producer                        ', '\n                            Primary Artist                        ']}",Sunrize - Sunrize,good,Sunrize
726,Yaz,"{'artist': ['Vince Clarke', 'D. Davis', 'John Fryer', 'Simon Heyworth', 'François Kevorkian', 'Joe Lyons', 'Daniel Miller', 'Alison Moyet', 'E.C. Radcliffe', 'Yaz', 'Yazoo'], 'credit': ['\n                            Composer,  Noise                        ', '\n                            Voices                        ', '\n                            Engineer                        ', '\n                            Remastering                        ', '\n                            Remastering                        ', '\n                            Artwork,  Photography                        ', '\n                            Noise,  Producer                        ', '\n                            Composer,  Piano,  Vocals                        ', '\n                            Engineer,  Producer                        ', '\n                            Primary Artist                        ', '\n                            Primary Artist,  Producer                        ']}",Yaz - Upstairs At Eric's,good,Upstairs At Eric's
727,Bobby Nunn,"{'artist': ['Bobby Nunn'], 'credit': ['\n                            Composer,  Primary Artist,  Synthesizer,  Vocals                        ']}",Bobby Nunn - Second To Nunn,good,Second To Nunn
728,Kurtis Blow,"{'artist': ['Kurtis Blow', 'Robert Ford, Jr.', 'J.B. Moore', 'Russell Simmons', 'Larry Smith'], 'credit': ['\n                            Composer,  Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Kurtis Blow - Tough,good,Tough
729,Luther Vandross,"{'artist': ['Jonathan Abramowitz', 'Nat Adderley', 'Nat Adderley, Jr.', 'Tawatha Agee', 'Larkin Arnold', 'Lewis Bagowitz', 'Phillip Ballou', 'Julien Barber', 'David Barjeron', 'John Beal', 'John Berg', 'Gene Bianco', 'Michael Brauer', 'Michael Brecker', 'Randy Brecker', 'Al Brown', 'Frederick Buldrini', 'Greg Calbi', 'Ron Carter', 'Jon Clarke', 'Michelle Cobbs', 'Sam Cooke', 'Ronnie Cuber', 'Paulinho Da Costa', 'Lewis Eley', 'Jeremy Engel', 'Jon Faddis', 'Karat Faye', 'Lawrence Feldman', 'Sammy Figueroa', 'Howard Fritzson', 'Judy Geist', 'Lynn Goldsmith', 'Peter Gordon', 'Sefra Herman', 'Andy Hoffman', 'Yogi Horton', 'Cissy Houston', 'Leo Kahn', 'Sidney Kaufman', 'Robin Laine', 'Hutaff Lennon', 'Jesse Levy', 'Yvonne Lewis', 'Guy Lumia', 'Scott Mabuchi', 'Ralph MacDonald', 'Tom ""Bones"" Malone', 'Lou Marini', 'Paulette McWilliams', 'Homer Mensch', 'Marcus Miller', 'Loranne Montesi', 'Kermit Moore', 'Stephen Moore', 'Warren ""Pete"" Moore', 'Joseph M. Palmaccio', 'Leon Pendarvis', 'Max Pollikoff', 'Doc Powell', 'Sue Pray', 'Paul Riser', 'Smokey Robinson', 'Margaret Ross', 'Alan Rubin', 'Leo Sacks', 'Ora Shiran', 'Richard Sortomme', 'Harry Spiridakis', 'David Taylor', 'David Earl Taylor', 'Fonzi Thornton', 'Luther Vandross', 'The Manny Vardi Strings', 'Georg ""Jojje"" Wadenius', 'Ed Walsh', 'Helen Weiss', 'Brenda White', 'Buddy Williams', 'Gregory Williams', 'Marilyn Wright', 'Norma Jean Wright', 'Richard Young', 'Richard D. Young', 'Harry Zavatzian'], 'credit': ['\n                            Strings                        ', '\n                            Composer                        ', '\n                            Keyboards,  Piano (Electric),  Rhythm Arrangements,  Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Executive Producer                        ', '\n                             Strings, String Section                        ', '\n                            Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                            Horn,  Horn Section                        ', '\n                             Strings, String Section                        ', '\n                            Design                        ', '\n                             Strings, String Section                        ', '\n                            Engineer,  Mixing                        ', '\n                            Horn,  Horn Section                        ', '\n                            Horn,  Horn Section                        ', '\n                             Strings, String Section                        ', '\n                             Strings, String Section                        ', '\n                            Original Mastering                        ', '\n                             Strings, String Section                        ', '\n                            Horn,  Horn Section                        ', '\n                            Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Horn,  Horn Section                        ', '\n                            Guest Artist,  Percussion                        ', '\n                             Strings, String Section                        ', '\n                            Packaging Manager                        ', '\n                            Horn,  Horn Section                        ', '\n                            Assistant Engineer                        ', '\n                            Flute,  Horn,  Horn Section                        ', '\n                            Percussion                        ', '\n                            Art Direction                        ', '\n                             Strings, String Section                        ', '\n                            Photography                        ', '\n                            Horn                        ', '\n                            Music Contractor,  Production Coordination                        ', '\n                            Assistant Engineer                        ', '\n                            Drums                        ', '\n                            Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                             Strings, String Section                        ', '\n                            Assistant Engineer                        ', '\n                            Wardrobe                        ', '\n                             Strings, String Section                        ', '\n                            Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                            Assistant Engineer                        ', '\n                            Percussion                        ', '\n                            Horn,  Horn Section                        ', '\n                            Horn,  Horn Section                        ', '\n                            Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                            Arranger,  Bass,  Composer,  Guest Artist,  Rhythm Arrangements,  Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                             Strings, String Section                        ', '\n                            Project Director                        ', '\n                            Composer                        ', '\n                            Reissue Mastering                        ', '\n                            Arranger,  Horn,  Strings                        ', '\n                             Strings, String Section                        ', '\n                            Guitar                        ', '\n                             Strings, String Section                        ', '\n                            Arranger,  Horn Arrangements,  String Arrangements,  Strings                        ', '\n                            Composer                        ', '\n                             Strings, String Section                        ', '\n                            Horn,  Horn Section                        ', '\n                            Preparation for Reissue                        ', '\n                             Strings, String Section                        ', '\n                            Strings                        ', '\n                            Assistant Engineer                        ', '\n                            Horn                        ', '\n                            Horn Section                        ', '\n                            Vocals (Background)                        ', '\n                            Arranger,  Composer,  Piano,  Primary Artist,  Producer,  Rhythm Arrangements,  Vocal Arrangement,  Vocals,  Vocals (Background)                        ', '\n                             Strings, String Section                        ', '\n                            Guitar                        ', '\n                            Synthesizer                        ', '\n                             Strings, String Section                        ', '\n                            Vocals (Background)                        ', '\n                            Drums                        ', '\n                            Horn,  Horn Section                        ', '\n                             Strings, String Section                        ', '\n                            Vocals (Background)                        ', '\n                            Strings                        ', '\n                            String Section                        ', '\n                             Strings, String Section                        ']}","Luther Vandross - Forever, For Always, For Love",good,"Forever, For Always, For Love"
730,Alicia Myers,error,Alicia Myers - I Fooled You This Time,error,I Fooled You This Time
731,The Steve Miller Band,"{'artist': ['David Alexander', 'Byron Allred', 'David Cole', 'Greg Douglass', 'Nels Israelson', 'Gerald Johnson', 'Jeff Lancaster', 'Kenny Lee Lewis', 'Gary Mallaber', 'John Massaro', 'Steve Miller', 'Steve Miller Band', 'John Palladino', 'Ben Sidran', 'Tommy Steele', 'Lonnie Turner'], 'credit': ['\n                            Photography                        ', '\n                            Keyboards,  Synthesizer                        ', '\n                            Engineer,  Mixing                        ', '\n                            Composer,  Guitar                        ', '\n                            Photography                        ', '\n                            Bass                        ', '\n                            Design                        ', '\n                            Bass,  Composer,  Guitar                        ', '\n                            Composer,  Drums,  Engineer,  Keyboards,  Percussion,  Producer                        ', '\n                            Composer,  Guitar                        ', '\n                            Composer,  Drawing,  Guitar,  Harmonica,  Keyboards,  Primary Artist,  Producer,  Synthesizer,  Vocals                        ', '\n                            Performer,  Primary Artist                        ', '\n                            Executive Producer                        ', '\n                            Composer                        ', '\n                            Art Direction,  Artwork,  Design                        ', '\n                            Bass,  Composer                        ']}",The Steve Miller Band - Abracadabra,good,Abracadabra
732,Diana Ross,"{'artist': ['Tawatha Agee', 'Larry Alexander', 'Patti Austin', 'Joe Barger', 'Errol Crusher Bennett', 'Harry Blue', 'Michael Boddicker', 'Roderick Bowkett', 'Janie Bradford', 'Randy Brecker', 'Tony Calvert', 'Allan Chapman', 'Ray Chew', 'Linda Creed', 'Eric Gale', 'Steve Goldstein', 'Freddie Gorman', 'Dave Greenberg', 'Randy Handley', 'Michael Hanna', 'Alex Henderson', 'Sephra Herman', 'Lucio Hopper', 'Yogi Horton', 'Cissy Houston', 'Michael Jackson', 'Jeff James', 'Neil Jason', 'Ted Jensen', 'Bob Kulick', 'Randy Mahon', 'Rick Marotta', 'Michael Masser', 'Paulette McWilliams', 'Denzil Miller', 'Jeff Mironov', 'Jonathan Moffett', 'Rob Mounsey', 'Matt Murphy', 'Ross Pallone', 'Tom Perry', 'William Frank ""Bill"" Reichenbach Jr.', 'Paul Riser', 'David Roberts', 'Diana Ross', 'Leo Sacks', 'Paul Shaffer', 'Gregory Smith', 'Maria Triana', 'Craig Turnbull', 'Luther Vandross', 'Ed Walsh', 'Andy Warhol', 'Julia Waters', 'Maxine Waters', 'Nathan Watts', 'Mark Wilder', 'David Williams', 'Roger Williams', 'Bill Wolfer', 'Bill Wray'], 'credit': ['\n                            Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Guest Artist,  Vocals (Background)                        ', '\n                            Piano                        ', '\n                            Percussion                        ', '\n                            Composer                        ', '\n                            Synthesizer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Horn Arrangements                        ', '\n                            Reissue Producer                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Keyboards                        ', '\n                            Composer,  Lyricist                        ', '\n                            Guitar                        ', '\n                            Arranger,  Composer,  Synthesizer                        ', '\n                            Composer                        ', '\n                            Assistant Engineer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Liner Notes,  Research                        ', '\n                            Contractor                        ', '\n                            Bass                        ', '\n                            Drums                        ', '\n                            Guest Artist,  Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Reissue Coordination                        ', '\n                            Bass                        ', '\n                            Mastering                        ', '\n                            Guitar,  Guitar (Rhythm)                        ', '\n                            Coordination                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Keyboards                        ', '\n                            Guitar                        ', '\n                            Drums                        ', '\n                            Arranger,  Keyboards                        ', '\n                            Production Manager                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            String Arrangements                        ', '\n                            Rhythm Arrangements,  String Arrangements                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Primary Artist,  Producer                        ', '\n                            Reissue Coordination                        ', '\n                            Fender Rhodes,  Rhythm Arrangements                        ', '\n                            Synthesizer                        ', '\n                            Mastering                        ', '\n                            Release Coordinator                        ', '\n                            Guest Artist,  Vocal Arrangement,  Vocals (Background)                        ', '\n                            Synthesizer                        ', '\n                            Cover Art                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Bass                        ', '\n                            Transfers                        ', '\n                            Guitar                        ', '\n                            Package Design                        ', '\n                            Synthesizer                        ', '\n                            Composer                        ']}",Diana Ross - Silk Electric,good,Silk Electric
733,Grandmaster Flash & The Furious Five,"{'artist': ['Hemu Aggarwal', 'Clifton Chase', 'Jiggs Chase', 'Chops Horn Section', 'Cowboy', 'Kid Creole', 'Ed Fletcher', 'John ""Ecstasy"" Fletcher', 'Lee Garrett', 'Melvin Glover', 'Grandmaster Flash', 'Grandmaster Flash & the Furious Five', 'Grandmaster Melle Mel', 'Reggie Griffin', 'Gary Henry', 'Gary Hobish', 'Steve Jerome', 'Keith LeBlanc', 'Skip McDonald', 'Melle Mel', 'Dwain Mitchell', 'E. Morris', 'Rahiem', 'Peter Relic', 'Sylvia Robinson', 'Pat Thomas', 'Keith Wiggins', 'Guy Williams', 'Doug Wimbish', 'Stevie Wonder', 'Syreeta Wright'], 'credit': ['\n                            Photography                        ', '\n                            Composer                        ', '\n                            Composer,  Mixing,  Musician,  Prophet Synthesizer                        ', '\n                            Brass,  Musician                        ', '\n                            Member of Attributed Artist                        ', '\n                            Member of Attributed Artist                        ', '\n                            Musician,  Percussion                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Member of Attributed Artist,  Primary Artist                        ', '\n                            Composer,  Performer,  Primary Artist                        ', '\n                            Composer                        ', '\n                            Musician,  Prophet 5,  Prophet Synthesizer,  Synthesizer                        ', '\n                            Keyboards,  Musician                        ', '\n                            Reissue Remastering                        ', '\n                            Audio Engineer,  Engineer,  Mixing                        ', '\n                            Drums                        ', '\n                            Guitar,  Musician                        ', '\n                            Member of Attributed Artist                        ', '\n                            Keyboards,  Musician                        ', '\n                            Composer                        ', '\n                            Member of Attributed Artist                        ', '\n                            Liner Notes                        ', '\n                            Audio Production,  Composer,  Concept,  Mixing,  Musician,  Prophet Synthesizer                        ', '\n                            Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Bass,  Guest Artist,  Guitar (Bass),  Musician                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Grandmaster Flash & The Furious Five - The Message,good,The Message
734,Carl Carlton,"{'artist': ['Carl Carlton'], 'credit': ['\n                            Primary Artist,  Vocals                        ']}",Carl Carlton - The Bad C.c.,good,The Bad C.c.
735,Curtis Mayfield,"{'artist': ['David Arenz', 'Harry Hagan', 'Michael Ingram', 'Frances Jeffrey', 'Morris Jennings', 'Curtis Mayfield', 'William Puett', 'Christopher Rex', 'Joseph Scott', 'Rich Tufo'], 'credit': ['\n                            Violin                        ', '\n                            Trombone                        ', '\n                            Percussion                        ', '\n                            Violin                        ', '\n                            Drums                        ', '\n                            Arranger,  Composer,  Guitar,  Horn Arrangements,  Primary Artist,  String Arrangements,  Vocals,  Vocals (Background)                        ', '\n                            Flute,  Sax (Alto)                        ', '\n                            Cello                        ', '\n                            Bass                        ', '\n                            Arranger,  Clavinet,  Horn Arrangements,  Piano (Electric),  String Arrangements                        ']}",Curtis Mayfield - Honesty,good,Honesty
